"","reads.in","reads.out","",""
"ERR2969509.fastq",39550,38703,37985,32514
"ERR2969510.fastq",16927,16466,16223,14989
"ERR2969511.fastq",18592,18184,17544,15394
"ERR2969512.fastq",6636,6493,6358,6101
"ERR2969513.fastq",42113,41204,40762,36731
"ERR2969514.fastq",9381,9152,9058,8300
"ERR2969515.fastq",26492,25896,25388,23581
"ERR2969516.fastq",14594,14220,13770,13111
"ERR2969517.fastq",38420,37491,37188,33118
"ERR2969518.fastq",5312,5190,5047,4880
"ERR2969519.fastq",8806,8609,8391,6904
"ERR2969520.fastq",11422,11162,10978,9310
"ERR2969521.fastq",11537,11328,11072,9609
"ERR2969522.fastq",15569,15243,14963,12890
"ERR2969523.fastq",6959,6799,6572,6269
"ERR2969524.fastq",13189,12908,12713,8128
"ERR2969525.fastq",9842,9582,9399,8723
"ERR2969526.fastq",11680,11373,10879,9624
"ERR2969527.fastq",8646,8437,8234,7703
"ERR2969528.fastq",45606,44512,44321,38809
"ERR2969529.fastq",8971,8780,8533,8318
"ERR2969530.fastq",18481,18034,17307,16060
"ERR2969531.fastq",7910,7724,7576,6349
"ERR2969532.fastq",6953,6818,6615,5364
"ERR2969533.fastq",18433,18079,17583,14715
"ERR2969534.fastq",19442,18949,18192,14732
"ERR2969535.fastq",9593,9306,9121,8287
"ERR2969536.fastq",13599,13324,13061,10816
"ERR2969537.fastq",19938,19410,18772,15966
"ERR2969538.fastq",15773,15376,14589,13273
"ERR2969539.fastq",6055,5901,5782,5446
"ERR2969540.fastq",44322,43155,42834,34530
"ERR2969541.fastq",46151,45080,44618,40663
"ERR2969542.fastq",14644,14267,13840,11830
"ERR2969543.fastq",8540,8338,8225,7847
"ERR2969544.fastq",29353,28577,28188,23943
"ERR2969545.fastq",8443,8272,8115,7707
"ERR2969546.fastq",11608,11319,10791,10312
"ERR2969547.fastq",7992,7796,7536,7000
"ERR2969548.fastq",29586,28842,28515,23343
"ERR2969549.fastq",24989,24434,23848,20755
"ERR2969550.fastq",25547,24870,24091,19035
"ERR2969551.fastq",9983,9729,9532,8399
"ERR2969552.fastq",28972,28283,27671,23320
"ERR2969553.fastq",43330,42507,42129,31821
"ERR2969554.fastq",24297,23612,22986,20364
"ERR2969555.fastq",4874,4736,4666,4246
"ERR2969556.fastq",22654,22151,21758,18227
"ERR2969557.fastq",9649,9481,9374,8827
"ERR2969558.fastq",12537,12201,11761,10079
"ERR2969559.fastq",6456,6309,6232,5799
"ERR2969560.fastq",7073,6921,6793,6377
"ERR2969561.fastq",9520,9327,9218,8327
"ERR2969562.fastq",8725,8514,8214,7478
"ERR2969563.fastq",3231,3151,3104,3028
"ERR2969564.fastq",31511,30744,30351,26301
"ERR2969565.fastq",23922,23481,22990,19767
"ERR2969566.fastq",22551,21933,21542,19402
"ERR2969567.fastq",25368,24840,24420,19848
"ERR2969568.fastq",24318,23767,23428,20586
"ERR2969569.fastq",13576,13256,13034,12453
"ERR2969570.fastq",28636,27994,27343,24193
"ERR2969571.fastq",24930,24347,24031,20625
