Compound,inchikey,smiles
Putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,C(CCN)CN
2-Hydroxyisovalerate,,
Choline,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
Indole-3-acetate,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(=O)O
Lacto-N-fucopentaose I,,
Valerate,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,CCCCC(=O)O
2-Hydroxyisobutyrate,,
Isobutyrate,KQNPFQTWMSNSAP-UHFFFAOYSA-N,CC(C)C(=O)O
2-Aminobutyrate,QWCKQJZIFLGMSD-VKHMYHEASA-N,CC[C@@H](C(=O)O)N
Butyrate,FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O
Acetoin,ROWKJAVDOGWPAT-UHFFFAOYSA-N,CC(C(=O)C)O
Galactose,WQZGKKKJIJFFOK-PHYPRBDBSA-N,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
Isoleucine,AGPKZVBTJJNPAG-WHFBIAKZSA-N,CC[C@H](C)[C@@H](C(=O)O)N
Ethanolamine,HZAXFHJVJLSVMW-UHFFFAOYSA-N,C(CO)N
3'-sialyllactose,,
Tyrosine,OUYCCCASQSFEME-QMMMGPOBSA-N,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
Methylsuccinate,XFTRTWQBIOMVPK-YFKPBYRVSA-N,C[C@](CC(=O)O)(C(=O)O)O
Phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C1=CC=C(C=C1)O
Phenylalanine,COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Creatine,CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N
Glucose,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
beta-Alanine,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C(CN)C(=O)O
Histidine,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C1=C(NC=N1)C[C@@H](C(=O)O)N
Nicotinate,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O
N-Acetylglucosamine,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O
Succinate,KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O
Ornithine,AHLPHDHHMVZTML-BYPYZUCNSA-N,C(C[C@@H](C(=O)O)N)CN
Propylene glycol,DNIAPMSPPWPWGF-GSVOUGTGSA-N,C[C@H](CO)O
Tyramine,DZGWFCGJZKJUFP-UHFFFAOYSA-N,C1=CC(=CC=C1CCN)O
Taurine,XOAAWQZATWQOTB-UHFFFAOYSA-N,C(CS(=O)(=O)O)N
Arabinose,SRBFZHDQGSBBOR-KLVWXMOXSA-N,C1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O
